Employee_ID,Department,Experience_Years,Monthly_Salary,Performance_Score,Projects_Completed
EMP1001,Sales,3,106953.0,67.6,13
EMP1002,Operations,7,80995.0,55.6,4
EMP1003,HR,5,68757.0,63.6,13
EMP1004,Operations,9,37692.0,85.6,7
EMP1005,Operations,7,,89.0,11
EMP1006,Finance,2,100409.0,81.1,3
EMP1007,HR,4,350000.0,94.8,6
EMP1008,HR,9,93697.0,83.0,12
EMP1009,HR,12,65065.0,,2
EMP1010,Operations,14,60606.0,91.6,10
EMP1011,Sales,2,39534.0,74.3,13
EMP1012,HR,10,68397.0,59.1,14
EMP1013,,9,119387.0,70.9,9
EMP1014,Finance,10,29016.0,83.8,5
EMP1015,Sales,5,117789.0,83.6,6
EMP1016,Finance,2,83591.0,80.4,12
EMP1017,Sales,4,117812.0,66.8,12
EMP1018,Operations,12,,79.1,12
EMP1019,IT,15,52300.0,71.5,12
EMP1020,Sales,12,102065.0,96.8,4
EMP1021,Finance,7,110798.0,91.5,14
EMP1022,Operations,12,37268.0,15.0,14
EMP1023,Sales,13,114807.0,65.1,11
EMP1024,IT,8,40185.0,66.0,10
EMP1025,IT,15,91704.0,,7
EMP1026,HR,3,114779.0,85.6,12
EMP1027,HR,14,67099.0,59.8,9
EMP1028,Finance,1,36571.0,73.9,7
EMP1029,Sales,4,66044.0,63.7,14
EMP1030,Sales,2,,93.5,1
EMP1031,HR,8,89228.0,75.4,1
EMP1032,Sales,4,76984.0,79.2,45
EMP1033,Sales,2,68774.0,84.9,11
EMP1034,IT,14,30568.0,61.0,14
EMP1035,HR,6,90592.0,81.0,9
EMP1036,Operations,6,95563.0,78.2,4
